[2023-04-08T12:52:18.198] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T12:52:35.432] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T12:53:36.532] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T12:54:00.183] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T12:56:20.424] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T12:56:54.232] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T12:57:15.293] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T12:57:38.509] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T12:58:31.198] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:01:16.352] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:01:29.889] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:02:04.016] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:05:11.509] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:06:38.313] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:06:52.244] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:07:00.731] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:07:35.037] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:07:35.537] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:07:53.635] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:08:25.411] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:08:51.919] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:09:09.711] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:10:09.849] [INFO] PROD - Route: /api/randomNumbers?quantity=0, Method: GET
[2023-04-08T13:10:20.672] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:10:48.897] [INFO] PROD - Route: /api/randomNumbers?quantity=0, Method: GET
[2023-04-08T13:11:29.668] [INFO] PROD - Route: /api/randomNumbers?quantity=0, Method: GET
[2023-04-08T13:11:39.919] [INFO] PROD - Route: /api/randomNumbers?quantity=10, Method: GET
[2023-04-08T13:11:54.546] [INFO] PROD - Route: /api/randomNumbers?quantity=500, Method: GET
[2023-04-08T13:11:59.352] [INFO] PROD - Route: /api/randomNumbers?quantity=50000, Method: GET
[2023-04-08T13:12:02.864] [INFO] PROD - Route: /api/randomNumbers?quantity=50000, Method: GET
[2023-04-08T13:12:11.281] [INFO] PROD - Route: /api/randomNumbers?quantity=50000, Method: GET
[2023-04-08T13:18:42.925] [INFO] PROD - Route: /api/randomNumbers?quantity=5000, Method: GET
[2023-04-08T13:18:50.511] [INFO] PROD - Route: /api/randomNumbers?quantity=5000, Method: GET
[2023-04-08T13:18:53.101] [INFO] PROD - Route: /api/randomNumbers?, Method: GET
[2023-04-08T13:18:58.504] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:19:15.648] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:20:04.404] [INFO] PROD - Route: /api/randomNumbers, Method: GET
[2023-04-08T13:20:10.679] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:20:23.250] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:20:48.582] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:21:31.697] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
[2023-04-08T13:21:44.976] [INFO] PROD - Route: /api/randomNumbers?quantity=4000, Method: GET
